Squad;#Pl_passing;90s_passing;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp.1;Att.1;Cmp%.1;Cmp.2;Att.2;Cmp%.2;Cmp.3;Att.3;Cmp%.3;Ast;xAG;xA;A-xAG;KP;01-Mar;PPA;CrsPA;PrgP;#Pl_shooting;90s_shooting;Gls;Sh;SoT;Sot%;Sh/90;Sot/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;#Pl;MP;Starts;Min;90s;GA;GA90;SoTA;SAVES;Save%;W;D;L;CS;CS%;PKatt_goalkeeping;PKA;PKsv;PKm;Save%.1;MP_laliga;W_laliga;D_laliga;L_laliga;GF;GA_laliga;GD;Pts;Pts/MP;xG_laliga;xGA;xGD;xGD/90;Attendance;#Pl_stats;Age;Poss;MP_stats;Starts_stats;Min_stats;90s_stats;Gls_stats;Ast_stats;G+A;G-PK;PK_stats;PKatt_stats;CrdY;CrdR;xG_stats;npxG_stats;xAG_stats;npxG+xAG;PrgC;PrgP_stats;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1
Alavés;29;38;10534;14746;71.4;199550;84871;4546;5494;82.7;4441;5542;80.1;1312;2838;46.2;20;25.4;25.9;-5.4;284;963;229;99;1160;29;38;38;393;123;31.3;10.34;3.24;0.07;0.24;17.8;10;9;11;42.8;34.1;0.09;-4.8;-5.1;3;38;38;3,419;38;48;1.26;132;86;72;10;12;16;9;23.7;11;11;0;0;0;38;10;12;16;38;48;-10;42;1.11;42.8;47;-4.2;-0.11;17,318;29;26.6;45.3;38;418;3,420;38;38;20;58;29;9;11;107;5;42.8;34.1;25.4;59.5;449;1160;1;0.53;1.53;0.76;1.29;1.13;0.67;1.79;0.9;1.57
Athletic Club;31;38;13665;17375;78.6;253362;90647;5552;6396;86.8;6520;7522;86.7;1395;2733;51;40;36.7;33.1;3.3;351;1283;274;90;1579;31;38;53;462;148;32;12.16;3.89;0.11;0.34;17.4;8;3;6;53;48.2;0.11;0;1.8;3;38;38;3,417;38;29;0.76;113;83;77;19;13;6;15;39.5;5;3;2;0;40;38;19;13;6;54;29;25;70;1.84;53;37.8;15.2;0.4;48,420;31;26.9;48.4;38;418;3,420;38;53;40;93;50;3;6;64;3;53;48.2;36.7;84.9;682;1579;1.39;1.05;2.45;1.32;2.37;1.39;0.97;2.36;1.27;2.23
Atlético Madrid;24;38;17826;21418;83.2;295213;100382;8814;9752;90.4;6993;7984;87.6;1486;2519;59;51;47.9;45.3;3.1;348;1233;365;96;1559;24;38;68;463;174;37.6;12.18;4.58;0.13;0.36;17;13;6;7;64.6;59.3;0.13;3.4;2.7;2;38;38;3,420;38;30;0.79;116;88;78.4;22;10;6;17;44.7;5;5;0;0;0;38;22;10;6;68;30;38;76;2;64.6;33.4;31.2;0.82;60,883;24;28.4;52.6;38;418;3,420;38;68;51;119;62;6;7;75;3;64.6;59.3;47.9;107.2;760;1559;1.79;1.34;3.13;1.63;2.97;1.7;1.26;2.96;1.56;2.82
Barcelona;28;38;22321;25721;86.8;371914;116385;10452;11341;92.2;9674;10643;90.9;1577;2424;65.1;72;67.5;64.7;4.5;500;2020;479;77;2212;28;38;99;670;240;35.8;17.63;6.32;0.14;0.38;17.1;27;7;8;91.5;85.2;0.13;7.5;6.8;3;38;38;3,420;38;39;1.03;108;69;67.6;28;4;6;13;34.2;4;4;0;0;0;38;28;4;6;102;39;63;88;2.32;91.5;41.9;49.5;1.3;45,953;28;24.7;68.3;38;418;3,420;38;99;72;171;92;7;8;63;3;91.5;85.2;67.5;152.7;860;2212;2.61;1.89;4.5;2.42;4.32;2.41;1.78;4.18;2.24;4.02
Betis;36;38;15770;19284;81.8;264738;91436;7583;8423;90;6318;7291;86.7;1341;2443;54.9;37;37.5;34.8;-0.5;417;1127;329;75;1486;36;38;55;518;176;34;13.63;4.63;0.09;0.27;18.1;14;7;10;54.7;46.9;0.09;0.3;1.1;3;38;38;3,420;38;50;1.32;141;92;67.4;16;12;10;7;18.4;4;4;0;0;0;38;16;12;10;57;50;7;60;1.58;54.7;50.6;4.1;0.11;51,542;36;27.5;52.4;38;418;3,420;38;55;37;92;48;7;10;75;4;54.7;46.9;37.5;84.5;679;1486;1.45;0.97;2.42;1.26;2.24;1.44;0.99;2.43;1.23;2.22
Celta Vigo;30;38;17798;21253;83.7;312877;104182;7549;8367;90.2;8368;9325;89.7;1480;2521;58.7;40;38.4;36.9;1.6;339;1424;300;53;1659;30;38;58;442;167;37.8;11.63;4.39;0.11;0.3;17.9;19;8;9;54.2;47.3;0.11;3.8;2.7;2;38;38;3,420;38;57;1.5;145;89;62.8;16;7;15;8;21.1;4;3;1;0;25;38;16;7;15;59;57;2;55;1.45;54.2;43.4;10.9;0.29;21,504;30;26.8;53.6;38;418;3,420;38;58;40;98;50;8;9;84;6;54.2;47.3;38.4;85.7;709;1659;1.53;1.05;2.58;1.32;2.37;1.43;1.01;2.44;1.24;2.26
Espanyol;27;38;10580;13996;75.6;199624;80026;4245;4942;85.9;4814;5678;84.8;1297;2629;49.3;27;24.5;23.4;2.5;256;772;204;81;1000;27;38;38;351;98;27.9;9.24;2.58;0.09;0.34;18.4;15;5;5;34.4;30.5;0.09;3.6;2.5;1;38;38;3,420;38;51;1.34;192;140;75.5;11;9;18;8;21.1;6;4;2;0;33.3;38;11;9;18;40;51;-11;42;1.11;34.4;53.8;-19.4;-0.51;25,640;27;25.2;39.8;38;418;3,420;38;38;27;65;33;5;5;88;1;34.4;30.5;24.5;55;497;1000;1;0.71;1.71;0.87;1.58;0.91;0.65;1.55;0.8;1.45
Getafe;30;38;8695;12922;67.3;169125;74933;3711;4579;81;3515;4628;76;1250;2951;42.4;21;23.9;23.8;-2.9;296;958;226;104;981;30;38;34;430;122;28.4;11.32;3.21;0.07;0.24;19.4;17;5;5;36.8;33;0.08;-2.8;-4;1;38;38;3,420;38;39;1.03;126;86;75.4;11;9;18;9;23.7;9;8;1;0;11.1;38;11;9;18;34;39;-5;42;1.11;36.8;46.2;-9.4;-0.25;11,469;30;27.7;41.8;38;418;3,420;38;34;21;55;29;5;5;110;7;36.8;33;23.9;56.9;368;981;0.89;0.55;1.45;0.76;1.32;0.97;0.63;1.6;0.87;1.5
Girona;30;38;18273;21401;85.4;322614;100730;8002;8697;92;8458;9319;90.8;1526;2565;59.5;31;31.6;37.4;-0.6;308;1494;302;87;1691;30;38;43;397;134;33.8;10.45;3.53;0.1;0.29;17.7;13;4;5;42.5;38.6;0.1;0.5;0.4;3;38;38;3,420;38;60;1.58;164;102;65.2;11;8;19;8;21.1;6;3;3;0;50;38;11;8;19;44;60;-16;41;1.08;42.5;50.4;-8;-0.21;11,657;30;27.5;56.3;38;418;3,420;38;43;31;74;39;4;5;76;2;42.5;38.6;31.6;70.2;765;1691;1.13;0.82;1.95;1.03;1.84;1.12;0.83;1.95;1.02;1.85
Las Palmas;34;38;14352;18209;78.8;254010;92291;6396;7255;88.2;6214;7269;85.5;1395;2776;50.3;27;26.3;26.5;0.7;304;1059;246;79;1210;34;38;38;409;134;32.8;10.76;3.53;0.09;0.26;19.2;21;3;4;36.3;33.2;0.08;1.7;1.8;2;38;38;3,420;38;61;1.61;182;120;69.2;8;8;22;4;10.5;10;5;4;1;44.4;38;8;8;22;40;61;-21;32;0.84;36.3;66.8;-30.5;-0.8;23,010;34;26.8;50.7;38;418;3,420;38;38;27;65;35;3;4;110;4;36.3;33.2;26.3;59.4;499;1210;1;0.71;1.71;0.92;1.63;0.96;0.69;1.65;0.87;1.56
